Date,azo,bac,dpz,googl,msft,tgt
2021-10-01,1672.280029296875,42.87364196777344,474.2389831542969,2730.860107421875,288.5720520019531,227.6422576904297
2021-10-04,1642.510009765625,43.13239669799805,470.08624267578125,2673.18994140625,282.5929870605469,225.12088012695312
2021-10-05,1651.219970703125,44.008182525634766,473.7897644042969,2720.4599609375,288.2326965332031,226.78518676757812
2021-10-06,1663.81005859375,44.0280876159668,481.8157043457031,2751.300048828125,292.57470703125,226.05767822265625
2021-10-07,1683.72998046875,43.90865707397461,481.8656005859375,2784.5,294.3115539550781,229.03750610351562
2021-10-08,1681.3699951171875,44.12760543823242,479.47979736328125,2795.7099609375,294.3115539550781,228.12062072753906
2021-10-11,1674.0799560546875,43.57028579711914,478.6412658691406,2778.280029296875,293.69268798828125,227.9412384033203
2021-10-12,1677.2900390625,43.33143997192383,479.2102355957031,2728.97998046875,292.34515380859375,229.45606994628906
2021-10-13,1683.0799560546875,42.933353424072266,475.44683837890625,2751.639892578125,295.7688903808594,235.9438934326172
2021-10-14,1717.550048828125,44.85410690307617,476.644775390625,2823.02001953125,302.1971130371094,241.26571655273438
2021-10-15,1736.030029296875,46.14788055419922,454.1142272949219,2827.360107421875,303.6544494628906,244.87339782714844
2021-10-18,1758.489990234375,46.058311462402344,459.0954895019531,2855.56005859375,306.7288513183594,252.78634643554688
2021-10-19,1764.2099609375,46.257354736328125,464.5559387207031,2864.739990234375,307.6671447753906,251.33132934570312
2021-10-20,1769.050048828125,46.86443328857422,457.7778015136719,2835.3798828125,306.8486328125,250.97254943847656
2021-10-21,1807.6800537109375,46.60567855834961,467.1413879394531,2837.719970703125,310.1925048828125,253.34445190429688
2021-10-22,1832.8900146484375,47.342132568359375,463.5177307128906,2751.330078125,308.5954284667969,255.05859375
2021-10-25,1821.0899658203125,47.28242111206055,465.4244079589844,2748.93994140625,307.56732177734375,259.46356201171875
2021-10-26,1826.0,47.730262756347656,464.9652099609375,2786.169921875,309.5436706542969,257.84906005859375
2021-10-27,1825.8599853515625,46.814674377441406,479.42987060546875,2924.35009765625,322.5798645019531,255.66653442382812
2021-10-28,1780.0999755859375,47.55112838745117,478.49151611328125,2916.97998046875,323.7576904296875,257.3407897949219
2021-10-29,1784.8399658203125,47.55112838745117,488.1146545410156,2960.919921875,331.014404296875,258.73602294921875
2021-11-01,1779.43994140625,47.620792388916016,486.5274353027344,2869.93994140625,328.7685241699219,257.0418395996094
2021-11-02,1788.1500244140625,47.65065002441406,486.018310546875,2908.64990234375,332.52166748046875,259.3738708496094
2021-11-03,1791.6800537109375,48.138301849365234,484.4111633300781,2931.9599609375,333.3900451660156,259.5233459472656
2021-11-04,1809.050048828125,47.10328674316406,508.48895263671875,2965.35009765625,335.8255920410156,259.5532531738281
2021-11-05,1817.93994140625,46.74501037597656,495.0125732421875,2977.0400390625,335.4462890625,253.4042510986328
2021-11-08,1820.9300537109375,47.11323547363281,495.80120849609375,2980.6201171875,336.3746032714844,252.4674530029297
2021-11-09,1866.3800048828125,46.65544128417969,497.61798095703125,2978.3701171875,335.3365173339844,254.2912139892578
2021-11-10,1881.4200439453125,47.003761291503906,494.2838439941406,2917.8701171875,330.1958923339844,253.18499755859375
2021-11-11,1886.8900146484375,47.26251983642578,506.07318115234375,2915.330078125,331.8229064941406,255.13833618164062
2021-11-12,1886.22998046875,46.68529510498047,512.402099609375,2973.56005859375,336.1051025390625,259.1346435546875
2021-11-15,1911.8399658203125,46.824623107910156,516.4151000976562,2969.0400390625,335.456298828125,263.42999267578125
2021-11-16,1911.280029296875,46.8544807434082,524.3311767578125,2957.52001953125,338.8900146484375,266.3900146484375
2021-11-17,1893.8399658203125,46.287208557128906,530.55029296875,2960.93994140625,339.1199951171875,253.8000030517578
2021-11-18,1875.8499755859375,46.098121643066406,535.8909301757812,2996.77001953125,341.2699890136719,252.0500030517578
2021-11-19,1859.6800537109375,45.18252944946289,534.6531372070312,2978.530029296875,343.1099853515625,250.6999969482422
2021-11-22,1864.8800048828125,46.058311462402344,532.427001953125,2926.0400390625,339.8299865722656,244.57000732421875
2021-11-23,1880.0999755859375,47.27246856689453,530.9794921875,2915.639892578125,337.67999267578125,249.17999267578125
2021-11-24,1855.050048828125,47.40184783935547,533.0458984375,2922.39990234375,337.9100036621094,248.75999450683594
2021-11-26,1814.1800537109375,45.540802001953125,528.953125,2843.659912109375,329.67999267578125,246.57000732421875
2021-11-29,1838.68994140625,45.37161636352539,533.0159912109375,2910.610107421875,336.6300048828125,249.16000366210938
2021-11-30,1817.0699462890625,44.25698471069336,523.22314453125,2837.949951171875,330.5899963378906,243.83999633789062
2021-12-01,1806.8299560546875,43.630001068115234,510.7549743652344,2821.030029296875,330.0799865722656,240.38999938964844
2021-12-02,1868.2900390625,44.88999938964844,524.0816040039062,2859.320068359375,329.489990234375,245.5
2021-12-03,1863.0,43.869998931884766,520.8572998046875,2840.030029296875,323.010009765625,247.57000732421875
2021-12-06,1879.989990234375,44.150001525878906,516.1754760742188,2863.10009765625,326.19000244140625,242.97000122070312
2021-12-07,2023.5699462890625,44.709999084472656,536.4898681640625,2945.389892578125,334.9200134277344,245.6300048828125
2021-12-08,1988.8599853515625,44.15999984741211,533.235595703125,2963.72998046875,334.9700012207031,239.60000610351562
2021-12-09,1965.8299560546875,44.4900016784668,529.3623657226562,2952.77001953125,333.1000061035156,237.55999755859375
2021-12-10,2003.02001953125,44.52000045776367,533.485107421875,2960.030029296875,342.5400085449219,238.17999267578125
