Date,azo,bac,dpz,googl,msft,tgt
2021-01-04,1180.4000244140625,29.462804794311523,376.3648681640625,1726.1300048828125,215.88043212890625,175.22389221191406
2021-01-05,1180.3499755859375,29.688457489013672,378.1896667480469,1740.050048828125,216.0886688232422,177.92677307128906
2021-01-06,1229.699951171875,31.542762756347656,381.6905212402344,1722.8800048828125,210.4856414794922,186.3609619140625
2021-01-07,1246.0400390625,32.23935317993164,380.0243835449219,1774.3399658203125,216.47543334960938,188.51144409179688
2021-01-08,1252.9200439453125,31.91558265686035,385.6178283691406,1797.8299560546875,217.79437255859375,190.9775848388672
2021-01-11,1265.4599609375,32.44538116455078,387.3136901855469,1756.2900390625,215.68209838867188,192.63479614257812
2021-01-12,1282.1500244140625,33.02423858642578,382.3153076171875,1737.4300537109375,213.1433563232422,196.40309143066406
2021-01-13,1259.43994140625,32.82801818847656,378.70538330078125,1747.25,214.54164123535156,194.15394592285156
2021-01-14,1248.02001953125,33.34800720214844,370.71197509765625,1730.9200439453125,211.24925231933594,195.32781982421875
2021-01-15,1248.3299560546875,32.386512756347656,372.13018798828125,1727.6199951171875,210.88230895996094,192.16131591796875
2021-01-19,1238.2900390625,32.15105056762695,369.57147216796875,1784.469970703125,214.6408233642578,185.6112518310547
2021-01-20,1239.97998046875,31.729177474975586,375.8690185546875,1880.0699462890625,222.47512817382812,185.74935913085938
2021-01-21,1246.4100341796875,31.169939041137695,377.97149658203125,1884.1500244140625,223.09991455078125,188.67913818359375
2021-01-22,1227.1600341796875,30.9540958404541,377.2276611328125,1892.56005859375,224.07174682617188,189.31045532226562
2021-01-25,1196.0400390625,30.57145881652832,375.3632507324219,1894.280029296875,227.6219940185547,187.5742950439453
2021-01-26,1194.550048828125,30.355615615844727,375.7103576660156,1907.949951171875,230.3987274169922,185.15748596191406
2021-01-27,1137.2099609375,29.266578674316406,373.7962646484375,1818.93994140625,230.9639892578125,175.86508178710938
2021-01-28,1146.6400146484375,29.747325897216797,368.5301513671875,1853.199951171875,236.94386291503906,181.09329223632812
2021-01-29,1118.3699951171875,29.089981079101562,367.6971435546875,1827.3599853515625,230.03179931640625,178.7159423828125
2021-02-01,1159.3299560546875,29.39412498474121,368.3516540527344,1893.0699462890625,237.65786743164062,181.08343505859375
2021-02-02,1193.6700439453125,30.443918228149414,374.1037292480469,1919.1199951171875,237.51902770996094,183.07606506347656
2021-02-03,1194.5999755859375,30.98352813720703,370.245849609375,2058.8798828125,240.98004150390625,182.60255432128906
2021-02-04,1220.3900146484375,31.886152267456055,369.9185791015625,2053.6298828125,239.9982452392578,186.03543090820312
2021-02-05,1220.4300537109375,31.758604049682617,374.1136779785156,2088.830078125,240.1866912841797,186.30178833007812
2021-02-08,1224.949951171875,32.46500778198242,376.9202575683594,2084.52001953125,240.4544219970703,191.32281494140625
2021-02-09,1224.3199462890625,32.32765197753906,379.7962951660156,2075.389892578125,241.74363708496094,191.65821838378906
2021-02-10,1212.6700439453125,32.357086181640625,378.9037170410156,2086.47998046875,240.80154418945312,189.83328247070312
2021-02-11,1150.4200439453125,32.25897216796875,382.017822265625,2088.75,242.45765686035156,187.83078002929688
2021-02-12,1146.6500244140625,32.739715576171875,381.98809814453125,2095.030029296875,242.9534912109375,188.83694458007812
2021-02-16,1173.3199462890625,33.62272262573242,374.7979431152344,2110.699951171875,241.67420959472656,188.6785430908203
2021-02-17,1192.969970703125,33.76007080078125,373.3797607421875,2118.6201171875,242.72779846191406,191.65838623046875
2021-02-18,1211.2900390625,33.54423141479492,374.0244140625,2105.81005859375,242.32028198242188,189.49034118652344
2021-02-19,1205.72998046875,33.88761520385742,368.3913269042969,2088.81005859375,239.5172882080078,186.9263153076172
2021-02-22,1188.5899658203125,34.4860954284668,362.1433410644531,2054.260009765625,233.0962371826172,187.09461975097656
2021-02-23,1185.18994140625,34.84911346435547,363.71026611328125,2060.1201171875,231.86370849609375,184.49098205566406
2021-02-24,1189.8599853515625,35.69287109375,361.57806396484375,2083.81005859375,233.13600158691406,185.20376586914062
2021-02-25,1160.5699462890625,35.25136947631836,336.199462890625,2015.949951171875,227.60952758789062,183.2238311767578
2021-02-26,1159.9200439453125,34.05440902709961,343.6474609375,2021.9100341796875,230.9790802001953,181.60028076171875
2021-03-01,1169.3900146484375,35.114013671875,342.20941162109375,2069.659912109375,235.51158142089844,184.2236785888672
2021-03-02,1180.0,34.85892105102539,340.1763610839844,2064.47998046875,232.46009826660156,171.7500762939453
2021-03-03,1179.739990234375,35.73210906982422,329.98126220703125,2011.4100341796875,226.18812561035156,171.8688507080078
2021-03-04,1168.43994140625,35.98847198486328,327.7994384765625,2033.9300537109375,225.36312866210938,168.11688232421875
2021-03-05,1220.25,36.41244125366211,327.5118103027344,2097.070068359375,230.20376586914062,170.87889099121094
2021-03-08,1241.1099853515625,36.609642028808594,330.7548522949219,2007.5,226.0191650390625,175.09616088867188
2021-03-09,1222.489990234375,35.81098937988281,351.15484619140625,2040.3599853515625,232.37063598632812,177.38299560546875
2021-03-10,1256.0,36.84627151489258,354.97308349609375,2036.18994140625,231.01882934570312,176.7890167236328
2021-03-11,1261.9300537109375,36.718101501464844,355.4094543457031,2100.5400390625,235.700439453125,177.5216064453125
2021-03-12,1285.52001953125,37.40828323364258,359.0686340332031,2050.0,234.32876586914062,178.2046661376953
2021-03-15,1295.219970703125,37.220951080322266,360.9181213378906,2054.43994140625,233.39442443847656,179.2837371826172
2021-03-16,1299.0,37.11248779296875,363.9409484863281,2083.889892578125,236.27694702148438,178.4026641845703
